PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
AUS,1,m,1953,1953,3,O,103499,.,.,.,1
AUS,1,f,1954,1954,3,O,98701,.,.,.,1
AUS,1,m,1954,1954,3,O,103555,.,.,.,1
AUS,1,f,1955,1955,3,O,101227,.,.,.,1
AUS,1,m,1955,1955,3,O,106450,.,.,.,1
AUS,1,f,1956,1956,3,O,102544,.,.,.,1
AUS,1,m,1956,1956,3,O,109589,.,.,.,1
AUS,1,f,1957,1957,3,O,107121,.,.,.,1
AUS,1,m,1957,1957,3,O,113237,.,.,.,1
AUS,1,f,1958,1958,3,O,108547,.,.,.,1
AUS,1,m,1958,1958,3,O,113957,.,.,.,1
AUS,1,f,1959,1959,3,O,110735,.,.,.,1
AUS,1,m,1959,1959,3,O,116241,.,.,.,1
AUS,1,f,1960,1960,3,O,111911,.,.,.,1
AUS,1,m,1960,1960,3,O,118415,.,.,.,1
AUS,1,f,1961,1961,3,O,116874,.,.,.,1
AUS,1,m,1961,1961,3,O,123112,.,.,.,1
AUS,1,f,1962,1962,3,O,114971,.,.,.,1
AUS,1,m,1962,1962,3,O,122110,.,.,.,1
AUS,1,f,1963,1963,3,O,114553,.,.,.,1
AUS,1,m,1963,1963,3,O,121136,.,.,.,1
AUS,1,f,1964,1964,3,O,111087,.,.,.,1
AUS,1,m,1964,1964,3,O,118062,.,.,.,1
AUS,1,f,1965,1965,3,O,108388,.,.,.,1
AUS,1,m,1965,1965,3,O,114466,.,.,.,1
AUS,1,f,1966,1966,3,O,108653,.,.,.,1
AUS,1,m,1966,1966,3,O,115078,.,.,.,1
AUS,1,f,1967,1967,3,O,111616,.,.,.,1
AUS,1,m,1967,1967,3,O,117680,.,.,.,1
AUS,1,f,1968,1968,3,O,117279,.,.,.,1
AUS,1,m,1968,1968,3,O,123627,.,.,.,1
AUS,1,f,1969,1969,3,O,121905,.,.,.,1
AUS,1,m,1969,1969,3,O,128271,.,.,.,1
AUS,1,f,1970,1970,3,O,125544,.,.,.,1
AUS,1,m,1970,1970,3,O,131972,.,.,.,1
AUS,1,f,1971,1971,3,O,135248,.,.,.,1
AUS,1,m,1971,1971,3,O,141114,.,.,.,1
AUS,1,f,1972,1972,3,O,128960,.,.,.,1
AUS,1,m,1972,1972,3,O,136009,.,.,.,1
AUS,1,f,1973,1973,3,O,120701,.,.,.,1
AUS,1,m,1973,1973,3,O,126969,.,.,.,1
AUS,1,f,1974,1974,3,O,118882,.,.,.,1
AUS,1,m,1974,1974,3,O,126295,.,.,.,1
AUS,1,f,1975,1975,63,O,113012,.,.,.,1
AUS,1,m,1975,1975,63,O,119726,.,.,.,1
AUS,1,f,1976,1976,63,O,110761,.,.,.,1
AUS,1,m,1976,1976,63,O,116598,.,.,.,1
AUS,1,f,1977,1977,63,O,110070,.,.,.,1
AUS,1,m,1977,1977,63,O,117002,.,.,.,1
AUS,1,f,1978,1978,63,O,109763,.,.,.,1
AUS,1,m,1978,1978,63,O,115187,.,.,.,1
AUS,1,f,1979,1979,63,O,108462,.,.,.,1
AUS,1,m,1979,1979,63,O,114859,.,.,.,1
AUS,1,f,1980,1980,63,O,110192,.,.,.,1
AUS,1,m,1980,1980,63,O,116282,.,.,.,1
AUS,1,f,1981,1981,63,O,115511,.,.,.,1
AUS,1,m,1981,1981,63,O,122141,.,.,.,1
AUS,1,f,1982,1982,63,O,116038,.,.,.,1
AUS,1,m,1982,1982,63,O,122737,.,.,.,1
AUS,1,f,1983,1983,63,O,118256,.,.,.,1
AUS,1,m,1983,1983,63,O,124746,.,.,.,1
AUS,1,f,1984,1984,63,O,118256,.,.,.,1
AUS,1,m,1984,1984,63,O,123982,.,.,.,1
AUS,1,f,1985,1985,63,O,118886,.,.,.,1
AUS,1,m,1985,1985,63,O,125151,.,.,.,1
AUS,1,f,1986,1986,63,O,118641,.,.,.,1
AUS,1,m,1986,1986,63,O,125245,.,.,.,1
AUS,1,f,1987,1987,63,O,118856,.,.,.,1
AUS,1,m,1987,1987,63,O,125343,.,.,.,1
AUS,1,f,1988,1988,63,O,122483,.,.,.,1
AUS,1,m,1988,1988,63,O,128825,.,.,.,1
AUS,1,f,1989,1989,63,O,124089,.,.,.,1
AUS,1,m,1989,1989,63,O,130517,.,.,.,1
AUS,1,f,1990,1990,63,O,127810,.,.,.,1
AUS,1,m,1990,1990,63,O,135002,.,.,.,1
AUS,1,f,1991,1991,63,O,125601,.,.,.,1
AUS,1,m,1991,1991,63,O,132673,.,.,.,1
AUS,1,f,1992,1992,63,O,128743,.,.,.,1
AUS,1,m,1992,1992,63,O,135511,.,.,.,1
AUS,1,f,1993,1993,63,O,127177,.,.,.,1
AUS,1,m,1993,1993,63,O,134344,.,.,.,1
AUS,1,f,1994,1994,63,O,127504,.,.,.,1
AUS,1,m,1994,1994,63,O,134708,.,.,.,1
AUS,1,f,1995,1995,63,O,126674,.,.,.,1
AUS,1,m,1995,1995,63,O,133482,.,.,.,1
AUS,1,f,1996,1996,63,O,125288,.,.,.,1
AUS,1,m,1996,1996,63,O,132586,.,.,.,1
AUS,1,f,1997,1997,63,O,124546,.,.,.,1
AUS,1,m,1997,1997,63,O,130932,.,.,.,1
AUS,1,f,1998,1998,63,O,123631,.,.,.,1
AUS,1,m,1998,1998,63,O,129872,.,.,.,1
AUS,1,f,1999,1999,63,O,125036,.,.,.,1
AUS,1,m,1999,1999,63,O,131296,.,.,.,1
AUS,1,f,2000,2000,63,O,124627,.,.,.,1
AUS,1,m,2000,2000,63,O,131186,.,.,.,1
AUS,1,f,2001,2001,63,O,122483,.,.,.,1
AUS,1,m,2001,2001,63,O,129065,.,.,.,1
AUS,1,f,2002,2002,63,O,123572,.,.,.,1
AUS,1,m,2002,2002,63,O,129821,.,.,.,1
AUS,1,f,2003,2003,63,O,123285,.,.,.,1
AUS,1,m,2003,2003,63,O,130491,.,.,.,1
AUS,1,f,2004,2004,63,O,123566,.,.,.,1
AUS,1,m,2004,2004,63,O,130757,.,.,.,1
AUS,1,f,2005,2005,63,O,131015,.,.,.,1
AUS,1,m,2005,2005,63,O,137996,.,.,.,1
AUS,1,f,2006,2006,63,O,134102,.,.,.,1
AUS,1,m,2006,2006,63,O,142175,.,.,.,1
AUS,1,f,2007,2007,63,O,141355,.,.,.,1
AUS,1,m,2007,2007,63,O,149293,.,.,.,1
AUS,1,f,2008,2008,63,O,143081,.,.,.,1
AUS,1,m,2008,2008,63,O,150833,.,.,.,1
AUS,1,f,2009,2009,63,O,143981,.,.,.,1
AUS,1,m,2009,2009,63,O,152315,.,.,.,1
AUS,1,f,2010,2010,63,O,145052,.,.,.,1
AUS,1,m,2010,2010,63,O,151970,.,.,.,1
AUS,1,f,2011,2011,63,O,145635,.,.,.,1
AUS,1,m,2011,2011,63,O,154090,.,.,.,1
AUS,1,f,2012,2012,63,O,149578,.,.,.,1
AUS,1,m,2012,2012,63,O,158940,.,.,.,1
AUS,1,f,2013,2013,63,O,148279,.,.,.,1
AUS,1,m,2013,2013,63,O,157076,.,.,.,1
AUS,1,f,2014,2014,63,O,149847,.,.,.,1
AUS,1,m,2014,2014,63,O,157906,.,.,.,1
AUS,1,f,2015,2015,63,O,147656,.,.,.,1
AUS,1,m,2015,2015,63,O,156298,.,.,.,1
AUS,1,f,2016,2016,63,O,150156,.,.,.,1
AUS,1,m,2016,2016,63,O,158831,.,.,.,1
AUS,1,f,2017,2017,63,O,145176,.,.,.,1
AUS,1,m,2017,2017,63,O,154013,.,.,.,1
AUS,1,f,2018,2018,63,O,143845,.,.,.,1
AUS,1,m,2018,2018,63,O,152602,.,.,.,1
AUS,1,f,2019,2019,63,O,143145,.,.,.,1
AUS,1,m,2019,2019,63,O,151738,.,.,.,1
AUS,1,f,2020,2020,63,O,138666,.,.,.,1
AUS,1,m,2020,2020,63,O,146381,.,.,.,1
